id,city,country,population
23003,Zapotlan de Juarez,Mexico,16493
23004,Corabia,Romania,16441
23005,Gryfice,Poland,16524
23006,Wolcott,United States,16615
23007,Montbrison,France,15656
23008,Umbertide,Italy,16530
23009,El Segundo,United States,16610
23010,Peer,Belgium,16421
23011,Holmdel,United States,16609
23012,Xinyuan,China,16585
23013,Denville,United States,16606
23014,Mercedes,United States,16604
23015,Swift Current,Canada,16604
23016,Macetown,New Zealand,16600
23017,Norcross,United States,16592
23018,Burrillville,United States,16588
23019,Buritama,Brazil,16583
23020,Kurtamysh,Russia,16579
23021,Villeneuve-Loubet,France,15780
23022,Wyke,United Kingdom,14950
23023,Kota,India,16237
23024,Northbridge,United States,16582
23025,Keflavik,Iceland,16463
23026,Batavia,United States,16581
23027,Edmundston,Canada,16580
23028,Cristinapolis,Brazil,16519
23029,Morganton,United States,16577
23030,Harrisburg,United States,16576
23031,Chinde,Mozambique,16500
23032,Sainte-Luce-sur-Loire,France,15238
23033,Swansea,United States,16567
23034,Besana in Brianza,Italy,15573
23035,Quarteira,Portugal,16131
23036,Rojales,Spain,15978
23037,Hammam al `Alil,Iraq,15985
23038,Berezan,Ukraine,16506
23039,Nanbu,Japan,16449
23040,Yaypan,Uzbekistan,15984
23041,Delran,United States,16548
23042,Uchkeken,Russia,16512
23043,Langenthal,Switzerland,15639
23044,West Hempfield,United States,16546
23045,Ban Lam Narai,Thailand,16470
23046,Murraysville,United States,16542
23047,Pedregulho,Brazil,16517
23048,Donaldsonville,United States,16540
23049,Solvang,United States,16540
23050,Charqueada,Brazil,16440
23051,Feilding,New Zealand,15990
23052,Ciney,Belgium,16439
23053,Mapiri,Bolivia,16520
23054,Los Osos,United States,16533
23055,Kisvarda,Hungary,16084
23056,Horodok,Ukraine,16516
23057,Chennur,India,16126
23058,Gardhabaer,Iceland,16299
23059,Saint-Amand-les-Eaux,France,16053
23060,Differdange,Luxembourg,15455
23061,Hovelhof,Germany,16294
23062,Ivanava,Belarus,16498
23063,Santomera,Spain,16154
23064,Russell,Canada,16520
23065,Sultanabad,India,16116
23066,Maruim,Brazil,16343
23067,Groveton,United States,16516
23068,Washington,United States,16516
23069,Sanatikri,India,15536
23070,Karema,Tanzania,16385
23071,Reyhanli,Turkey,16469
23072,Bady Bassitt,Brazil,16359
23073,Longchang,China,16240
23074,San Miguel,Philippines,16424
23075,Seymour,United States,16508
23076,Dison,Belgium,15405
23077,Zhongzai,China,16379
23078,Kirchlengern,Germany,16029
23079,Nyahanga,Tanzania,16092
23080,Regenstauf,Germany,16343
23081,Tohoku,Japan,16449
23082,Live Oak,United States,16499
23083,Tadikalapudi,India,16235
23084,Rakovnik,Czechia,15652
23085,Geddes,United States,16496
23086,Changji,China,16308
23087,Lock Haven,United States,16490
23088,Loimaa,Finland,16467
23089,Vienna,United States,16485
23090,Country Club Hills,United States,16482
23091,Durham,United States,16481
23092,Streetsboro,United States,16478
23093,Kirchhain,Germany,16298
23094,Jasper,United States,16477
23095,Eden,United States,16477
23096,Pearl River,United States,16476
23097,Harenkarspel,Netherlands,16179
23098,Clevelandia,Brazil,16450
23099,Yunshan,China,16220
23100,Digne-les-Bains,France,16333
23101,Chateaurenard,France,16012
23102,Kozelsk,Russia,16443
23103,Bovolone,Italy,16078
23104,Douglas,United States,16467
23105,Slany,Czechia,16010
23106,Ayvalik,Turkey,16283
23107,Bilohirsk,Ukraine,16428
23108,Crowley,United States,16460
23109,Itaete,Brazil,16446
23110,Tasil,Syria,15985
23111,Highland Springs,United States,16459
23112,Anori,Colombia,16447
23113,Brackenheim,Germany,16106
23114,Arteche,Philippines,16360
23115,Taohongpozhen,China,16378
23116,Harlingen,Netherlands,15822
23117,Rolleston,New Zealand,16350
23118,Olecko,Poland,16364
23119,North Grenville,Canada,16451
23120,Ispica,Italy,16307
23121,Bruntal,Czechia,15908
23122,Al Hibah,Egypt,16209
23123,Verrieres-le-Buisson,France,14941
23124,Panukulan,Philippines,16376
23125,Francheville,France,14656
23126,Patapatnam,India,15954
23127,Franklin,United States,16440
23128,Cinco Ranch,United States,16437
23129,Sava,Italy,16076
23130,San Cristobal Cucho,Guatemala,16158
23131,Wolf Trap,United States,16436
23132,Abington,United States,16436
23133,Guardamar del Segura,Spain,15983
23134,Alegria,Philippines,16184
23135,Agudo,Brazil,16401
23136,Sparti,Greece,16239
23137,Chickasha,United States,16431
23138,Pindorama,Brazil,16342
23139,Curacautin,Chile,16418
23140,Przeworsk,Poland,15713
23141,Verkhivtseve,Ukraine,16364
23142,Portachuelo,Bolivia,16408
23143,Kings Park,United States,16424
23144,Groveland,United States,16423
23145,La Falda,Argentina,16335
23146,Chai Prakan,Thailand,16090
23147,Bangor,United Kingdom,16358
23148,Cinnaminson,United States,16416
23149,Mount Pleasant,United States,16412
23150,Collipulli,Chile,16392
23151,Herisau,Switzerland,15780
23152,Las Cabezas de San Juan,Spain,16335
23153,Eghezee,Belgium,16247
23154,Bad Lippspringe,Germany,16089
23155,Shiraoi,Japan,16364
23156,Wittstock,Germany,16363
23157,River Falls,United States,16402
23158,Hernando,United States,16399
23159,Copparo,Italy,16294
23160,Baipingshan,China,16330
23161,Acarape,Brazil,16288
23162,Penicuik,United Kingdom,15926
23163,Carcarana,Argentina,16277
23164,Wurzen,Germany,16154
23165,Balkonda,India,15644
23166,Ripon,United States,16386
23167,Realeza,Brazil,16338
23168,Monroe,United States,16380
23169,Codroipo,Italy,16165
23170,Montivilliers,France,15564
23171,Hude,Germany,16248
23172,Porumamilla,India,16201
23173,Petersberg,Germany,15924
23174,Penn,United States,16370
23175,Warragul,Australia,15757
23176,Douar Azla,Morocco,16128
23177,Brakel,Germany,16270
23178,Rygge,Norway,16145
23179,Bang Phae,Thailand,16130
23180,Kierspe,Germany,16137
23181,Rio Linda,United States,16359
23182,Kallur,India,15807
23183,Bluffdale,United States,16358
23184,Dieburg,Germany,15679
23185,Otacilio Costa,Brazil,16337
23186,Pinhalzinho,Brazil,16332
23187,Bingawan,Philippines,16164
23188,Pecel,Hungary,15987
23189,Oarai,Japan,15696
23190,East Greenbush,United States,16352
23191,Storrs,United States,16352
23192,Orimattila,Finland,16326
23193,Puerto Pimentel,Peru,15552
23194,Yorkton,Canada,16343
23195,Corbelia,Brazil,16312
23196,Schmelz,Germany,16068
23197,Burley,United States,16342
23198,Aranyaprathet,Thailand,16211
23199,Ourem,Brazil,16311
23200,Aurora,United States,16338
23201,Donna,United States,16338
23202,Ustron,Poland,16065
23203,Michelstadt,Germany,16151
23204,Palagiano,Italy,16105
23205,Shahriston,Tajikistan,16295
23206,Straelen,Germany,16114
23207,Chamgardan,Iran,16086
23208,Loxstedt,Germany,16214
23209,Tarquinia,Italy,16269
23210,Schiffweiler,Germany,15595
23211,Ostashkov,Russia,16318
23212,Ponsacco,Italy,15539
23213,Morro da Fumaca,Brazil,16126
23214,Red Wing,United States,16320
23215,Leopoldsburg,Belgium,15625
23216,Faxinal,Brazil,16314
23217,Les Herbiers,France,16135
23218,Adjud,Romania,16045
23219,Halver,Germany,16106
23220,Walldorf,Germany,15534
23221,Fallon,United States,16313
23222,Lyss,Switzerland,15279
23223,Punta Umbria,Spain,15891
23224,Timezgana,Morocco,16172
23225,Leso,Philippines,15639
23226,Novoanninskiy,Russia,16294
23227,Guerande,France,16107
23228,Sabana de La Mar,Dominican Republic,16272
23229,Fairview Heights,United States,16303
23230,Celina,United States,16299
23231,Kumiyama,Japan,15200
23232,Bikou,China,16247
23233,Ospitaletto,Italy,14711
23234,'Ayn Bni Mathar,Morocco,16289
23235,Gun Barrel City,United States,16292
23236,Montalvania,Brazil,14747
23237,Thermi,Greece,16004
23238,Chaona,China,16111
23239,Kabo,Central African Republic,16279
23240,Rumilly,France,15373
23241,Kotoura,Japan,16167
23242,Nanzuo,China,15704
23243,Chateau-Thierry,France,15351
23244,Civita Castellana,Italy,16262
23245,North Whitehall,United States,16278
23246,Leixlip,Ireland,15504
23247,Morton,United States,16277
23248,Adwick le Street,United Kingdom,15911
23249,Port Jervis,United States,16273
23250,Red Hill,United States,16273
23251,Kaukauna,United States,16270
23252,Petrovsk-Zabaykal'skiy,Russia,16213
23253,San Antonio Oeste,Argentina,16265
23254,Xiaozhengzhuang,China,15845
23255,Addison,United States,16263
23256,Fort Thomas,United States,16263
23257,Erwitte,Germany,16045
23258,Mebane,United States,16262
23259,Guanagazapa,Guatemala,16187
23260,Mezokovesd,Hungary,16098
23261,Mount Holly,United States,16257
23262,Porto Belo,Brazil,16083
23263,Landen,Belgium,15961
23264,Conyers,United States,16256
23265,Clausthal-Zellerfeld,Germany,15888
23266,Bree,Belgium,16005
23267,Horodok,Ukraine,16158
23268,Bruck an der Mur,Austria,15837
23269,Nonantola,Italy,15957
23270,Igapora,Brazil,16225
23271,Centerton,United States,16244
23272,Zegzel,Morocco,16137
23273,Sered',Slovakia,15726
23274,East Longmeadow,United States,16242
23275,Udayagiri,India,15870
23276,Perchtoldsdorf,Austria,15047
23277,Bad Worishofen,Germany,15963
23278,Yaojia,China,16072
23279,Merate,Italy,14891
23280,Stuart,United States,16237
23281,Sikeston,United States,16237
23282,Pianezza,Italy,15309
23283,Lagoa do Carro,Brazil,16007
23284,Certaldo,Italy,16023
23285,Sulphur Springs,United States,16234
23286,Araputanga,Brazil,16223
23287,San Pedro de Lloc,Peru,16198
23288,Galliate,Italy,15685
23289,Breaza,Romania,15928
23290,Kolakaluru,India,15607
23291,Santa Anita,Mexico,16203
23292,San Gabriel,Ecuador,16066
23293,Alabat,Philippines,15936
23294,San Cesareo,Italy,15552
23295,Boulder City,United States,16207
23296,Bouchabel,Morocco,16084
23297,Centralia,United States,16204
23298,Conwy,United Kingdom,14723
23299,Zulte,Belgium,15720
23300,Horqueta,Paraguay,16171
23301,Ponto Novo,Brazil,16168
23302,Carlet,Spain,15851
23303,Pocking,Germany,15967
23304,Ouadhia,Algeria,15771
23305,Altinopolis,Brazil,16179
23306,Dixon,United States,16195
23307,Les Sables-d'Olonne,France,14545
23308,Masmouda,Morocco,16106
23309,Okhtyrka,Ukraine,15694
23310,Troutdale,United States,16183
23311,Wiefelstede,Germany,16031
23312,Bar,Ukraine,16136
23313,Huarmey,Peru,16172
23314,Barra de Santo Antonio,Brazil,16064
23315,Lewes,United Kingdom,15988
23316,Pelhrimov,Czechia,16012
23317,Yurihama,Japan,15972
23318,Finsterwalde,Germany,15968
23319,As Sukhnah,Syria,16173
23320,Ellington,United States,16170
23321,Rylsk,Russia,16147
23322,Sao Pedro do Sul,Brazil,16148
23323,Babayurt,Russia,16149
23324,Skhour Rehamna,Morocco,15479
23325,Tankal,Philippines,16075
23326,Vontimitta,India,16067
23327,Mount Clemens,United States,16163
23328,Owase,Japan,16079
23329,Fairview Park,United States,16161
23330,Getulio Vargas,Brazil,16154
23331,Discovery Bay,United States,16159
23332,Seven Pagodas,India,15172
23333,Evans,United States,16155
23334,Manturovo,Russia,15203
23335,Potenza Picena,Italy,15827
23336,Ukrainka,Ukraine,16056
23337,Bni Tajjit,Morocco,16149
23338,Sukth,Albania,15966
23339,Wardenburg,Germany,16012
23340,Stallings,United States,16145
23341,Wendelstein,Germany,15833
23342,Cambridge,United States,16143
23343,Sandhausen,Germany,15105
23344,Baleyara,Niger,16063
23345,Mezotur,Hungary,16086
23346,Aki,Japan,16090
23347,Alpedrete,Spain,14959
23348,Taucha,Germany,15673
23349,Bni Quolla,Morocco,16049
23350,Sassenheim,Netherlands,14886
23351,Frankfort,United States,16136
23352,Westwood,United States,16136
23353,Chenove,France,14216
23354,Barrington,United States,16131
23355,Utnur,India,16005
23356,Hongsi,China,15938
23357,Ebersbach an der Fils,Germany,15535
23358,Chinggil,China,16098
23359,Undi,India,15322
23360,Csongrad,Hungary,16027
23361,Westchester,United States,16117
23362,Altopascio,Italy,15572
23363,Kodinsk,Russia,16116
23364,Valmontone,Italy,16073
23365,Alasehir,Turkey,16012
23366,Tracadie,Canada,16114
23367,Ternat,Belgium,15481
23368,Alsfeld,Germany,15989
23369,Dalachi,China,16075
23370,Minamiminowa,Japan,15727
23371,Santa Marta de Tormes,Spain,14646
23372,Kanan,Japan,15497
23373,Incirliova,Turkey,15870
23374,Center Point,United States,16110
23375,Quezon,Philippines,15886
23376,Canyon,United States,16109
23377,West Haven,United States,16109
23378,Lumbreras,Spain,16060
23379,Coulommiers,France,14757
23380,Washougal,United States,16107
23381,Degtyarsk,Russia,16001
23382,Aquitania,Colombia,16087
23383,Matelandia,Brazil,16078
23384,Hariharpara,India,14827
23385,Venturosa,Brazil,16052
23386,Ilave,Peru,16033
23387,Saint-Avertin,France,14968
23388,Bridgeview,United States,16096
23389,Khat Azakane,Morocco,16014
23390,Telfs,Austria,15747
23391,Troy,United States,16092
23392,Frogn,Norway,15953
23393,Nagasu,Japan,15299
23394,Gloria,Brazil,16072
23395,Lubbenau/Spreewald,Germany,15969
23396,Lere,Mali,16072
23397,Vallirana,Spain,15438
23398,Paola,Italy,15716
23399,Despujols,Philippines,15940
23400,Vijayapuri North,India,15887
23401,Antarvedi,India,15605
23402,Naivasha,Kenya,14563
23403,Palmitos,Brazil,16020
23404,Lebanon,United States,16065
23405,Boudjima,Algeria,15628
23406,Stafa,Switzerland,14389
23407,Alcaniz,Spain,16029
23408,Tachiarai,Japan,15387
23409,Griffith,United States,16060
23410,L'Oulja,Morocco,15956
23411,Villa Rica,United States,16058
23412,Schluchtern,Germany,15914
23413,Atescatempa,Guatemala,15820
23414,Azzano Decimo,Italy,15744
23415,Sansepolcro,Italy,15876
23416,Bassum,Germany,15955
23417,Hetton le Hole,United Kingdom,14402
23418,Fairhaven,United States,16045
23419,Majdal Shams,Israel,15973
23420,Nova Ipixuna,Brazil,16032
23421,Weener,Germany,15842
23422,Alma,United States,16035
23423,Dianga,China,15993
23424,Bragadiru,Romania,15329
23425,Tizi-n-Tleta,Algeria,15479
23426,Swidwin,Poland,15338
23427,Fort Leonard Wood,United States,16026
23428,Kasli,Russia,16013
23429,San Tomas,Philippines,14878
23430,Long Beach,United States,16023
23431,Viraghattam,India,14315
23432,Villers-les-Nancy,France,14558
23433,Shchigry,Russia,15292
23434,Lady Lake,United States,16020
23435,Aberdeen,United States,16019
23436,Welby,United States,16018
23437,Middletown,United States,16018
23438,Indianola,United States,16015
23439,Washington,United States,16014
23440,Yorito,Honduras,15774
23441,Pianco,Brazil,15985
23442,Bracebridge,Canada,16010
23443,Ban Dung,Thailand,15913
23444,Karratha,Australia,15828
23445,Mennecy,France,14679
23446,Kamyzyak,Russia,15984
23447,Alloa,United Kingdom,14420
23448,Vlagtwedde,Netherlands,15908
23449,Caetano,Brazil,15982
23450,Fartura,Brazil,15960
23451,Chiconquiaco,Mexico,14394
23452,Yaransk,Russia,15985
23453,Poco Fundo,Brazil,15959
23454,Barysh,Russia,15974
23455,Santa Catalina,Philippines,14493
23456,Phelan,United States,15987
23457,Issoire,France,15214
23458,Bastogne,Belgium,15894
23459,Chivolo,Colombia,15960
23460,Santa Maria de Jesus,Guatemala,15529
23461,Haddada,Morocco,15898
23462,Sabana Grande de Palenque,Dominican Republic,15466
23463,Lakeway,United States,15981
23464,Nao-Me-Toque,Brazil,15936
23465,Ghomrassen,Tunisia,15957
23466,Dyer,United States,15976
23467,Toul,France,15470
23468,Sopelana,Spain,14276
23469,Calbuco,Chile,15903
23470,Archer Lodge,United States,15972
23471,Niceville,United States,15972
23472,Bocsa,Romania,15842
23473,Blanquefort,France,15510
23474,Middletown,United States,15969
23475,Trelaze,France,14759
23476,Dehaq,Iran,15828
23477,Fussen,Germany,15608
23478,Monte Plata,Dominican Republic,15532
23479,Dunaivtsi,Ukraine,15914
23480,Bruggen,Germany,15708
23481,Clearlake,United States,15961
23482,Marghita,Romania,15770
23483,Batalha,Portugal,15805
23484,Xixucun,China,15683
23485,Fillmore,United States,15954
23486,Augustinopolis,Brazil,15950
23487,Rescaldina,Italy,14185
23488,Talitsa,Russia,15941
23489,Aveiro,Brazil,15950
23490,San Julian,Mexico,15890
23491,Hood River,United States,15949
23492,Plavsk,Russia,15920
23493,Contenda,Brazil,15891
23494,Bellevue,United States,15944
23495,Pamiers,France,15603
23496,Spanish Springs,United States,15938
23497,Bikin,Russia,15928
23498,Maardu,Estonia,15284
23499,Aramil,Russia,15236
23500,Luzhou,China,15890
23501,Fiano Romano,Italy,15556
23502,Boskoop,Netherlands,15045
23503,Volpiano,Italy,15453
23504,San Martino Buon Albergo,Italy,15482
23505,Ain Mediouna,Morocco,15770
23506,Bois-Guillaume,France,14309
23507,Westport,United States,15925
23508,Comarapa,Bolivia,15919
23509,Tabatinga,Brazil,15881
23510,Dinan,France,14281
23511,New Haven,United States,15922
23512,Maryborough,Australia,15406
23513,Oyten,Germany,15673
23514,Bredasdorp,South Africa,14936
23515,Poxoreo,Brazil,15916
23516,Mottola,Italy,15842
23517,Eilenburg,Germany,15583
23518,Serta,Portugal,15880
23519,Tocantins,Brazil,15823
23520,Cardonal,Mexico,15876
23521,New River,United States,15910
23522,Sayville,United States,15910
23523,Sao Paulo do Potengi,Brazil,15843
23524,Malta,United States,15907
23525,Beernem,Belgium,15687
23526,Dvur Kralove nad Labem,Czechia,15471
23527,Joaquim Nabuco,Brazil,15773
23528,Ezzhiliga,Morocco,15430
23529,Beaucaire,France,15718
23530,Tamazouzt,Morocco,15846
23531,Readington,United States,15897
23532,Millbrook,United States,15896
23533,Bituruna,Brazil,15880
23534,Sidi Allal el Bahraoui,Morocco,15866
23535,Carthage,United States,15892
23536,Greater Napanee,Canada,15892
23537,Breisach am Rhein,Germany,15606
23538,Skvyra,Ukraine,15889
23539,Julita,Philippines,15598
23540,Yuvileine,Ukraine,15830
23541,Ivdel,Russia,15888
23542,Puquio,Peru,15870
23543,Nuth,Netherlands,15423
23544,West Lampeter,United States,15888
23545,Prospect Heights,United States,15887
23546,King City,United States,15887
23547,Opa-locka,United States,15887
23548,Markranstadt,Germany,15619
23549,Pataskala,United States,15883
23550,Katav-Ivanovsk,Russia,15872
23551,Hedongcun,China,15667
23552,Indiaroba,Brazil,15831
23553,Girua,Brazil,15863
23554,Sakha,Egypt,14733
23555,Casalpusterlengo,Italy,15280
23556,Galatone,Italy,15544
23557,Rumst,Belgium,15114
23558,Tillsonburg,Canada,15872
23559,Ince-in-Makerfield,United Kingdom,15664
23560,Kabayan,Philippines,15806
23561,Sunset,United States,15871
23562,Machang,China,15552
23563,Wadern,Germany,15727
23564,Saint-Avold,France,15433
23565,Tenango de Doria,Mexico,15793
23566,Joao Neiva,Brazil,15809
23567,Ait Yazza,Morocco,14259
23568,Tsukumiura,Japan,15664
23569,Colchester,United States,15860
23570,Neustadt in Holstein,Germany,15093
23571,Grandville,United States,15858
23572,Jussara,Brazil,15841
23573,Chiva,Spain,15769
23574,Ixhuatlan del Sureste,Mexico,15800
23575,Overpelt,Belgium,15478
23576,Hibbing,United States,15855
23577,Sarasota Springs,United States,15854
23578,Barrocas,Brazil,15770
23579,Sulat,Philippines,15758
23580,Laguna Woods,United States,15850
23581,Chenlu,China,15642
23582,Gonohe,Japan,15761
23583,Hope Mills,United States,15849
23584,Derzhavinsk,Kazakhstan,15848
23585,Kumano,Japan,15806
23586,Ibateguara,Brazil,15840
23587,Itaquitinga,Brazil,15692
23588,Baeza,Spain,15762
23589,Surbo,Italy,15115
23590,Jatauba,Brazil,15819
23591,Sierra Vista Southeast,United States,15841
23592,Carugate,Italy,15482
23593,Nymburk,Czechia,15106
23594,Wilmington Island,United States,15834
23595,Corbera de Llobregat,Spain,15017
23596,Upper Gwynedd,United States,15831
23597,Kalininsk,Russia,15821
23598,Lewiston,United States,15830
23599,Belen,Turkey,15629
23600,Easthampton,United States,15829
23601,Steinbach,Canada,15829
23602,Bad Neustadt,Germany,15411
23603,Patton,United States,15828
23604,Biritinga,Brazil,15799
23605,Castillo,Dominican Republic,15709
23606,Patos,Albania,15397
23607,Grossenkneten,Germany,15736
23608,Mamadysh,Russia,15806
23609,Humble,United States,15824
23610,Rakovski,Bulgaria,15664
23611,Konigslutter am Elm,Germany,15704
23612,Kafr Nubl,Syria,15455
23613,Taurianova,Italy,15501
23614,Chilamatturu,India,15449
23615,Lagoa Real,Brazil,15801
23616,Payson,United States,15813
23617,Ovruch,Ukraine,15795
23618,Duxbury,United States,15812
23619,Ras el Oued,Morocco,15778
23620,Port Washington,United States,15808
23621,Yasnyy,Russia,15573
23622,Juma Shahri,Uzbekistan,15571
23623,Santa Cruz de la Palma,Spain,15446
23624,Putyvl,Ukraine,15778
23625,San Miguel,Philippines,15680
23626,Maddikera,India,15328
23627,Macedo de Cavaleiros,Portugal,15776
23628,Bad Essen,Germany,15645
23629,Voss,Norway,15787
23630,Pereiro,Brazil,15757
23631,Castenaso,Italy,15363
23632,Tarancon,Spain,15645
23633,Circleville,United States,15792
23634,Hautmont,France,14601
23635,Longmeadow,United States,15791
23636,Miguelturra,Spain,15658
23637,Ulladulla,Australia,15278
23638,Omegna,Italy,15285
23639,Plochingen,Germany,14433
23640,Fullerton,United States,15787
23641,Itajiba,Brazil,15767
23642,Niederkruchten,Germany,15550
23643,Kalocsa,Hungary,15490
23644,Sterling,United States,15780
23645,Acajutiba,Brazil,15717
23646,Tiverton,United States,15774
23647,White,United States,15773
23648,Guasca,Colombia,15727
23649,Abadiania,Brazil,15757
23650,Fos-sur-Mer,France,15602
23651,Santa Cecilia,Brazil,15757
23652,Cassina de' Pecchi,Italy,13849
23653,Weisswasser/Oberlausitz,Germany,15521
23654,Murray Bridge,Australia,14560
23655,Molinella,Italy,15642
23656,Crixas,Brazil,15760
23657,Saboeiro,Brazil,15752
23658,Silvi Paese,Italy,15708
23659,Restinga Seca,Brazil,15744
23660,Powder Springs,United States,15758
23661,Ershui,Taiwan,15240
23662,Miyota,Japan,15494
23663,Grenzach-Wyhlen,Germany,14897
23664,Wenwu,China,15662
23665,Matsushige,Japan,14723
23666,Flowing Wells,United States,15755
23667,Jiaojiazhuang,China,15635
23668,Clark,United States,15748
23669,Kasumi,Japan,15704
23670,Iguatemi,Brazil,15738
23671,San Giorgio Ionico,Italy,15101
23672,Purcellville,United States,15742
23673,Morretes,Brazil,15718
23674,Si Satchanalai,Thailand,15691
23675,Pornic,France,15570
23676,Greenwood Village,United States,15735
23677,Hanover,Canada,15733
23678,Milford,United States,15732
23679,Spittal an der Drau,Austria,15413
23680,Finale Emilia,Italy,15581
23681,Ulverstone,Australia,14109
23682,Oswestry,United Kingdom,15613
23683,Middle Smithfield,United States,15725
23684,Riposto,Italy,14620
23685,Chapelle-lez-Herlaimont,Belgium,14900
23686,Terrace,Canada,15723
23687,Warren,United States,15720
23688,Yasnogorsk,Russia,15706
23689,Tiran,Iran,15673
23690,Yazu,Japan,15642
23691,Farmingville,United States,15714
23692,Andrews,United States,15708
23693,Castelnuovo Rangone,Italy,15035
23694,Kysucke Nove Mesto,Slovakia,15132
23695,Crepy-en-Valois,France,14796
23696,Newberry,United States,15701
23697,Erlensee,Germany,14899
23698,Ostroh,Ukraine,15642
23699,Parma,United States,15699
23700,Zhirnovsk,Russia,15680
23701,Varnsdorf,Czechia,15117
23702,Blytheville,United States,15693
23703,Pote,Brazil,15667
23704,Einsiedeln,Switzerland,15550
23705,Kuusamo,Finland,15688
23706,Yakumo,Japan,15674
23707,`Alavicheh,Iran,15550
23708,Shively,United States,15689
23709,Bruhl,Germany,14288
23710,Suffield,United States,15688
23711,Ashikita,Japan,15621
23712,Drensteinfurt,Germany,15542
23713,Loma de Cabrera,Dominican Republic,15624
23714,Mayoyao,Philippines,15621
23715,Lagoa dos Gatos,Brazil,15615
23716,Tondangi,India,15189
23717,Mitchell,United States,15679
23718,Bengonbeyene,Equatorial Guinea,15644
23719,Matlock,United Kingdom,15519
23720,Templin,Germany,15636
23721,Ac-cahrij,Morocco,15385
23722,Opera,Italy,13858
23723,Sertanopolis,Brazil,15638
23724,Rakhiv,Ukraine,15621
23725,Kasagi,Japan,15565
23726,Valeggio sul Mincio,Italy,15424
23727,Casalmaggiore,Italy,15425
23728,Schonefeld,Germany,15472
23729,Szarvas,Hungary,15565
23730,West Norriton,United States,15659
23731,Mortara,Italy,15362
23732,Waremme,Belgium,15168
23733,Tobetsu,Japan,15618
23734,Kambaduru,India,15441
23735,Santa Ursula,Spain,14987
23736,Gaillac,France,15345
23737,Graham,United States,15646
23738,Lindas,Norway,15607
23739,Rio do Antonio,Brazil,15628
23740,Bozyazi,Turkey,15615
23741,Bad Bentheim,Germany,15486
23742,Dolo,Italy,15022
23743,Tone,Japan,15035
23744,Kinna,Sweden,15448
23745,Ceska Trebova,Czechia,15267
23746,Passa Quatro,Brazil,15582
23747,Tanque Verde,United States,15638
23748,Bolotnoye,Russia,15629
23749,Serpa,Portugal,15623
23750,Baia-Sprie,Romania,15476
23751,Kohir,India,15075
23752,Torello,Spain,14553
23753,Saint-Omer,France,14726
23754,Elkton,United States,15622
23755,Ban Na Kham,Thailand,15465
23756,Anao-aon,Philippines,15347
23757,Kuala Lipis,Malaysia,15448
23758,Shizukuishi,Japan,15589
23759,Mangqu,China,15609
23760,Three Lakes,United States,15614
23761,South Fayette,United States,15614
23762,Montijo,Spain,15483
23763,Jedrzejow,Poland,15484
23764,Loncoche,Chile,15590
23765,Corridonia,Italy,15362
23766,Pyapali,India,15200
23767,Bohodukhiv,Ukraine,15576
23768,Agios Athanasios,Cyprus,14578
23769,Caudry,France,14487
23770,Tuineje,Spain,15549
23771,At-Bashy,Kyrgyzstan,15601
23772,Fate,United States,15603
23773,Aartselaar,Belgium,14304
23774,Khamir,Yemen,15333
23775,Ipua,Brazil,15567
23776,Mandal,Norway,15529
23777,Borborema,Brazil,15569
23778,Najasa,Cuba,15579
23779,Bunnik,Netherlands,15192
23780,Soliera,Italy,15296
23781,Kunzelsau,Germany,15391
23782,Hille,Germany,15445
23783,Riverdale,United States,15594
23784,Fort Mohave,United States,15593
23785,Castellarano,Italy,15326
23786,Bonito,Brazil,15563
23787,Chubbuck,United States,15588
23788,Siemiatycze,Poland,15169
23789,Dastgerd,Iran,15524
23790,Sao Joao Evangelista,Brazil,15553
23791,Sarikamis,Turkey,15557
23792,North Reading,United States,15581
23793,Newton,United States,15580
23794,La Grange,United States,15577
23795,Antrim,United States,15576
23796,Svetogorsk,Russia,15546
23797,Haldibari,India,14404
23798,Banqiao,China,15486
23799,Urziceni,Romania,15308
23800,Ambaguio,Philippines,15472
23801,Miami,United States,15571
23802,Chiaravalle,Italy,14733
23803,McMinnville,United States,15570
23804,Potsdam,United States,15567
23805,Wawizaght,Morocco,14570
23806,Shimanto,Japan,15540
23807,San Policarpo,Philippines,15365
23808,Longwood,United States,15561
23809,Ipecaeta,Brazil,15521
23810,Sayo,Japan,15508
23811,Baiceng,China,15464
23812,Schriesheim,Germany,15081
23813,Ludus,Romania,15328
23814,Castiglione del Lago,Italy,15479
23815,Rahden,Germany,15441
23816,Kawasaki,Japan,15134
23817,Mujui dos Campos,Brazil,15548
23818,Overland,United States,15551
23819,Khao Yoi,Thailand,15416
23820,Dunn,United States,15550
23821,Sovetsk,Russia,15538
23822,Alvaraes,Brazil,15545
23823,Muttukuru,India,14333
23824,Houghton,United States,15543
23825,Ladson,United States,15539
23826,Daigo,Japan,15491
23827,Uusikaupunki,Finland,15510
23828,Magdiwang,Philippines,15385
23829,Cunit,Spain,14081
23830,Zelenogradsk,Russia,15493
23831,Fiorenzuola d'Arda,Italy,15276
23832,Tremelo,Belgium,14842
23833,Pudtol,Philippines,15491
23834,Boppard,Germany,15325
23835,Limanowa,Poland,14738
23836,Ban Duea,Thailand,15463
23837,Blackfoot,United States,15526
23838,Abaza,Russia,15335
23839,Buford,United States,15522
23840,Tasquillo,Mexico,15429
23841,Lake Geneva,United States,15518
